Company1_price_high,Company1_price_low,Company2_price_high,Company2_price_low,Company3_price_high,Company3_price_low,Company4_price_high,Company4_price_low
15.0,15.0,0.0997630655765533,0.0997630655765533,5.5,5.4375,23.46999931335449,22.15999984741211
30.0,19.0,0.1296919882297516,0.0997630655765533,5.5625,5.4375,23.200000762939453,22.520000457763672
65.0,31.5,0.1197156757116317,0.1197156757116317,5.5625,5.5,22.6200008392334,21.96999931335449
89.0,65.0,0.0997630655765533,0.0897867530584335,5.5625,5.5,22.56999969482422,22.15999984741211
84.0,78.0,0.1197156757116317,0.0997630655765533,5.5625,5.5,23.0,22.280000686645508
84.0,80.0,0.0997630655765533,0.0997630655765533,5.5625,5.5,22.92200088500977,22.049999237060547
81.5,75.0,0.1396682858467102,0.1296919882297516,5.5625,5.5,23.040000915527344,22.020000457763672
93.5,80.0,0.1296919882297516,0.1296919882297516,5.5625,5.5,22.549999237060547,22.200000762939453
90.0,77.0,0.1296919882297516,0.1296919882297516,5.5625,5.5,22.399999618530277,22.09000015258789
75.0199966430664,55.0,0.1296919882297516,0.1296919882297516,5.6875,5.5625,22.420000076293945,22.049999237060547
75.0,56.5,0.14964459836483,0.1396682858467102,6.0,5.5,22.399999618530277,22.100000381469727
90.0,72.0,0.14964459836483,0.1296919882297516,6.25,6.0,22.38999938964844,22.100000381469727
85.0,75.75,0.1596208959817886,0.14964459836483,6.25,6.0625,22.5,22.059999465942383
83.9000015258789,73.5,0.1596208959817886,0.1396682858467102,6.1875,6.0,22.350000381469727,22.07999992370605
86.0,81.5,0.14964459836483,0.1396682858467102,6.125,5.875,22.499000549316406,22.100000381469727
87.75,79.80000305175781,0.1695972084999084,0.1695972084999084,6.0,5.875,23.88999938964844,22.229999542236328
83.98999786376953,78.25,0.1695972084999084,0.1596208959817886,6.3125,6.0,24.700000762939453,22.770000457763672
86.25,80.75,0.1695972084999084,0.14964459836483,7.625,6.375,24.479999542236328,22.6299991607666
99.48999786376952,86.0,0.1596208959817886,0.1596208959817886,7.0625,6.75,24.18000030517578,22.899999618530277
107.0,97.1500015258789,0.1596208959817886,0.1596208959817886,7.125,6.75,24.200000762939453,23.0
120.0,110.0,0.1596208959817886,0.1396682858467102,6.875,6.5625,23.790000915527344,22.770000457763672
129.49000549316406,108.0,0.14964459836483,0.14964459836483,6.625,6.3125,23.81999969482422,23.01000022888184
108.0,98.3000030517578,0.14964459836483,0.14964459836483,6.5625,6.375,24.100000381469727,23.0
