Company1_price,Company2_price,Company3_price,Company4_price
15.0,0.0997630655765533,0.0,22.549999237060547
19.0,0.1197156757116317,5.5,23.18000030517578
31.5,0.1197156757116317,5.5625,22.399999618530277
65.0,0.0997630655765533,5.5625,22.15999984741211
80.0,0.0997630655765533,5.5625,22.280000686645508
84.0,0.0997630655765533,5.5625,22.350000381469727
80.5,0.1296919882297516,5.5,23.040000915527344
81.0,0.1296919882297516,5.5,22.440000534057617
80.0,0.1296919882297516,5.5,22.34000015258789
75.0,0.1296919882297516,5.5625,22.09000015258789
58.5,0.1396682858467102,5.625,22.11000061035156
72.0,0.1396682858467102,6.0,22.200000762939453
83.5,0.14964459836483,6.125,22.21999931335449
75.5,0.14964459836483,6.1875,22.07999992370605
81.5,0.1396682858467102,6.0625,22.100000381469727
86.0,0.1695972084999084,5.875,22.440000534057617
79.0,0.1695972084999084,6.0,23.75
80.75,0.1596208959817886,6.375,23.420000076293945
86.80000305175781,0.1596208959817886,6.9375,23.479999542236328
100.0,0.1596208959817886,6.75,23.149999618530277
111.0,0.1596208959817886,6.875,23.790000915527344
117.0500030517578,0.14964459836483,6.5625,23.549999237060547
107.0,0.14964459836483,6.375,23.200000762939453
105.0,0.14964459836483,6.4375,23.399999618530277
103.0,0.1396682858467102,6.375,23.75
117.0,0.1695972084999084,6.375,23.790000915527344
122.0,0.1695972084999084,6.25,23.690000534057617
120.0,0.179573506116867,6.25,23.780000686645508
115.5,0.179573506116867,5.875,22.6299991607666
115.0199966430664,0.1695972084999084,5.4375,23.149999618530277
118.0500030517578,0.1695972084999084,5.4375,22.3799991607666
124.0,0.1695972084999084,5.5625,22.299999237060547
124.75,0.1695972084999084,5.875,22.32999992370605
125.5,0.1695972084999084,5.875,23.5
125.0,0.1695972084999084,5.8125,23.440000534057617
126.0,0.1695972084999084,5.5625,24.149999618530277
128.0,0.1695972084999084,5.5,24.100000381469727
126.5,0.1596208959817886,5.5,24.170000076293945
125.3499984741211,0.1596208959817886,5.5,24.200000762939453
129.10000610351562,0.14964459836483,5.625,24.0
134.0,0.1695972084999084,5.625,24.25
125.0,0.1695972084999084,5.625,24.770000457763672
126.51000213623048,0.179573506116867,5.6875,24.790000915527344
126.0,0.179573506116867,5.625,25.989999771118164
124.0,0.179573506116867,5.375,24.979999542236328
119.01000213623048,0.1895498186349868,5.375,24.8799991607666
114.0,0.179573506116867,5.9375,23.809999465942383
111.5,0.1995261311531067,6.0,24.020000457763672
120.0,0.1895498186349868,5.9375,24.093000411987305
118.75,0.179573506116867,5.875,23.280000686645508
123.0,0.179573506116867,5.75,23.709999084472656
118.5,0.179573506116867,5.6875,23.01000022888184
125.0,0.1895498186349868,5.625,23.770000457763672
126.0,0.179573506116867,5.5,23.75
132.0,0.1995261311531067,5.375,23.59000015258789
132.0,0.1995261311531067,5.0625,23.81999969482422
131.5,0.2194787412881851,4.8125,23.209999084472656
130.0,0.179573506116867,4.3125,23.5
129.0,0.1695972084999084,3.25,23.71500015258789
129.14999389648438,0.2095024287700653,3.5625,23.125
129.75999450683594,0.1695972084999084,4.0,22.65999984741211
132.0,0.1995261311531067,3.4375,23.31999969482422
142.0,0.2394313514232635,3.5625,22.51000022888184
140.0,0.1995261311531067,3.375,22.5
142.5,0.2394313514232635,3.4375,22.299999237060547
145.0,0.2394313514232635,3.3125,22.190000534057617
142.5,0.2194787412881851,3.3125,21.290000915527344
138.0,0.2194787412881851,3.8125,20.899999618530277
135.0,0.2593839764595032,3.875,20.36000061035156
135.0,0.2593839764595032,3.8125,20.88999938964844
135.5,0.2494076639413833,3.8125,19.3700008392334
135.0,0.2494076639413833,3.8125,19.011999130249023
133.75,0.2394313514232635,3.75,18.290000915527344
129.5,0.2194787412881851,3.375,17.719999313354492
130.0,0.2394313514232635,3.375,16.110000610351562
129.0,0.2394313514232635,3.5625,16.940000534057617
127.25,0.2194787412881851,3.625,17.290000915527344
128.75,0.2194787412881851,3.625,18.0
129.0,0.2394313514232635,3.5625,18.82999992370605
135.0,0.2494076639413833,3.5625,19.57999992370605
132.0,0.3591470122337341,3.6875,20.07999992370605
133.0,0.3192417919635772,3.625,18.82999992370605
133.25,0.3391944169998169,3.5,19.183000564575195
130.0,0.3391944169998169,3.5,19.0
131.5,0.3391944169998169,3.5,18.850000381469727
132.5,0.289312869310379,3.5,18.700000762939453
133.0,0.3292181193828583,3.3125,16.510000228881836
132.60000610351562,0.3192417919635772,3.125,16.479999542236328
139.0,0.3292181193828583,3.0625,17.799999237060547
145.0,0.3192417919635772,3.0,18.26000022888184
156.10000610351562,0.2793365716934204,3.0,18.049999237060547
204.0,0.3292181193828583,2.8125,16.84000015258789
218.0,0.3292181193828583,2.6875,17.5
191.0,0.3391944169998169,2.5625,17.350000381469727
192.5,0.3292181193828583,2.6875,17.31999969482422
189.0,0.3092654943466186,2.75,17.520000457763672
195.0,0.3092654943466186,2.6875,17.5
205.0,0.3192417919635772,2.6875,17.520000457763672
220.0,0.3790996372699737,2.75,17.760000228881836
229.0,0.3691233396530151,2.6875,17.780000686645508
230.25,0.3491707146167755,2.625,17.59000015258789
274.0,0.3691233396530151,2.625,17.790000915527344
260.0,0.3591470122337341,2.375,17.68000030517578
278.0,0.3192417919635772,2.6875,17.920000076293945
282.0,0.3192417919635772,2.6875,17.93000030517578
294.0,0.3192417919635772,2.625,18.459999084472656
300.0,0.3292181193828583,2.625,18.190000534057617
300.010009765625,0.3990522623062134,2.5625,18.100000381469727
317.0,0.409028559923172,2.625,18.1299991607666
